date,open,max,min,close
26.08.2010,1394.20000,1407.98000,1391.71000,1395.94000
27.08.2010,1396.21000,1397.14000,1378.46000,1380.55000
28.08.2010,1379.42000,1386.13000,1361.34000,1369.92000
29.08.2010,1369.34000,1378.61000,1364.68000,1374.96000
30.08.2010,1377.02000,1387.95000,1375.92000,1385.01000
31.08.2010,1385.16000,1391.84000,1380.90000,1385.28000
01.09.2010,1385.21000,1390.83000,1382.96000,1385.15000
02.09.2010,1386.00000,1388.23000,1372.18000,1379.65000
03.09.2010,1378.33000,1384.60000,1378.03000,1383.00000
04.09.2010,1377.30000,1384.60000,1371.03000,1383.29000
05.09.2010,1382.65000,1406.18000,1382.03000,1405.30000
06.09.2010,1404.49000,1413.63000,1400.90000,1411.25000
07.09.2010,1411.39000,1414.48000,1402.75000,1404.37000
08.09.2010,1403.95000,1418.83000,1403.94000,1418.19000
09.09.2010,1418.23000,1423.77000,1412.90000,1414.54000
10.09.2010,1413.68000,1417.08000,1374.80000,1380.30000
11.09.2010,1380.72000,1384.72000,1363.90000,1377.98000
12.09.2010,1376.62000,1379.64000,1364.72000,1371.31000
13.09.2010,1371.15000,1378.46000,1352.79000,1368.78000
14.09.2010,1369.23000,1375.90000,1365.58000,1375.19000
15.09.2010,1374.97000,1386.50000,1373.18000,1381.22000
16.09.2010,1380.64000,1388.61000,1376.73000,1387.52000
17.09.2010,1386.73000,1393.00000,1369.53000,1373.27000
18.09.2010,1376.66000,1377.91000,1354.95000,1361.78000
19.09.2010,1360.35000,1365.62000,1357.12000,1362.24000
20.09.2010,1361.04000,1376.04000,1360.24000,1367.91000
21.09.2010,1367.76000,1378.77000,1365.51000,1369.68000
22.09.2010,1369.61000,1370.90000,1343.32000,1345.88000
23.09.2010,1345.94000,1350.06000,1337.61000,1342.35000
24.09.2010,1343.30000,1353.08000,1332.58000,1334.02000
25.09.2010,1334.17000,1338.32000,1322.63000,1331.98000
26.09.2010,1332.51000,1346.49000,1324.94000,1345.44000
27.09.2010,1345.05000,1347.80000,1310.28000,1313.67000
28.09.2010,1311.31000,1346.86000,1307.95000,1336.11000
29.09.2010,1338.71000,1345.84000,1323.01000,1332.43000
30.09.2010,1332.94000,1342.68000,1325.39000,1340.96000
01.10.2010,1343.14000,1343.74000,1326.59000,1334.79000
02.10.2010,1334.93000,1355.56000,1324.96000,1353.99000
03.10.2010,1354.75000,1357.82000,1345.26000,1348.72000
04.10.2010,1346.74000,1352.87000,1343.44000,1350.90000
05.10.2010,1351.35000,1367.70000,1348.29000,1363.50000
06.10.2010,1362.95000,1366.85000,1358.01000,1363.30000
07.10.2010,1363.37000,1365.74000,1351.10000,1363.49000
08.10.2010,1362.90000,1368.01000,1353.97000,1356.51000
09.10.2010,1357.49000,1366.49000,1353.82000,1361.48000
10.10.2010,1360.59000,1376.28000,1360.59000,1373.45000
11.10.2010,1372.90000,1381.59000,1368.10000,1374.13000
12.10.2010,1376.50000,1384.74000,1374.27000,1383.64000
13.10.2010,1384.38000,1391.66000,1381.68000,1389.82000
14.10.2010,1389.52000,1408.10000,1389.52000,1405.83000
15.10.2010,1406.18000,1410.80000,1392.64000,1398.78000
16.10.2010,1398.73000,1416.34000,1395.42000,1411.23000
17.10.2010,1411.34000,1417.89000,1392.64000,1402.34000
18.10.2010,1401.06000,1411.18000,1399.59000,1410.09000
19.10.2010,1409.12000,1416.08000,1404.59000,1410.96000
20.10.2010,1411.16000,1434.56000,1408.98000,1432.94000
21.10.2010,1432.27000,1439.94000,1427.45000,1433.97000
22.10.2010,1435.64000,1435.93000,1410.00000,1415.51000
23.10.2010,1415.43000,1431.76000,1412.90000,1430.58000
24.10.2010,1433.39000,1444.37000,1427.90000,1431.62000
25.10.2010,1431.45000,1436.46000,1423.14000,1428.59000
26.10.2010,1429.03000,1435.92000,1422.93000,1430.56000
27.10.2010,1430.82000,1431.24000,1402.91000,1411.45000
28.10.2010,1410.90000,1423.80000,1404.65000,1417.11000
29.10.2010,1430.12000,1430.50000,1418.45000,1426.40000
30.10.2010,1425.66000,1427.36000,1380.90000,1394.20000
31.10.2010,1393.67000,1405.71000,1392.15000,1399.08000
01.11.2010,1391.20000,1404.79000,1386.21000,1403.51000
02.11.2010,1405.00000,1423.70000,1404.50000,1418.16000
03.11.2010,1425.50000,1434.65000,1423.65000,1426.75000
04.11.2010,1426.26000,1431.88000,1419.41000,1428.31000
05.11.2010,1428.06000,1440.75000,1425.71000,1437.75000
06.11.2010,1438.15000,1447.35000,1423.80000,1432.35000
07.11.2010,1431.45000,1437.70000,1422.45000,1429.32000
08.11.2010,1427.18000,1428.60000,1410.12000,1419.92000
09.11.2010,1420.29000,1423.00000,1410.95000,1418.15000
10.11.2010,1418.20000,1429.75000,1411.90000,1422.60000
11.11.2010,1423.00000,1439.22000,1420.30000,1431.83000
12.11.2010,1431.28000,1436.00000,1412.77000,1428.31000
13.11.2010,1428.60000,1438.52000,1427.58000,1433.70000
14.11.2010,1434.12000,1456.99000,1429.74000,1455.74000
15.11.2010,1456.17000,1462.02000,1451.16000,1459.33000
16.11.2010,1458.95000,1464.75000,1452.49000,1457.85000
17.11.2010,1458.43000,1474.89000,1456.34000,1474.53000
18.11.2010,1474.46000,1476.20000,1459.24000,1463.00000
19.11.2010,1462.41000,1467.14000,1444.00000,1452.62000
20.11.2010,1453.25000,1462.07000,1451.05000,1457.01000
21.11.2010,1457.40000,1474.64000,1452.42000,1473.87000
22.11.2010,1474.84000,1487.99000,1471.30000,1486.64000
23.11.2010,1486.10000,1497.55000,1477.38000,1495.01000
24.11.2010,1495.57000,1499.31000,1487.30000,1496.14000
25.11.2010,1494.70000,1505.74000,1492.20000,1502.15000
26.11.2010,1501.70000,1508.90000,1499.74000,1504.56000
27.11.2010,1504.01000,1504.01000,1503.49000,1503.52000
28.11.2010,1510.20000,1518.09000,1501.84000,1506.76000
29.11.2010,1506.75000,1508.02000,1493.00000,1505.98000
30.11.2010,1506.35000,1530.00000,1503.12000,1526.83000
01.12.2010,1527.33000,1538.18000,1523.78000,1535.89000
02.12.2010,1533.67000,1569.06000,1531.70000,1563.30000
03.12.2010,1567.55000,1575.13000,1538.85000,1545.05000
04.12.2010,1545.00000,1550.85000,1527.00000,1535.55000
05.12.2010,1536.33000,1543.03000,1505.98000,1515.91000
06.12.2010,1515.22000,1521.82000,1462.42000,1473.93000
07.12.2010,1472.53000,1498.17000,1470.90000,1495.26000
08.12.2010,1494.24000,1513.80000,1489.52000,1513.43000
09.12.2010,1512.40000,1519.21000,1505.79000,1515.89000
10.12.2010,1515.50000,1526.40000,1495.62000,1501.01000
11.12.2010,1499.10000,1507.75000,1478.08000,1505.60000
12.12.2010,1505.80000,1516.41000,1482.85000,1494.87000
13.12.2010,1494.08000,1504.25000,1487.08000,1489.06000
14.12.2010,1489.50000,1497.51000,1471.78000,1486.43000
15.12.2010,1486.70000,1499.71000,1484.80000,1496.79000
16.12.2010,1495.90000,1499.54000,1486.26000,1492.88000
17.12.2010,1493.85000,1515.60000,1486.82000,1511.78000
18.12.2010,1511.50000,1518.60000,1503.80000,1516.81000
19.12.2010,1516.88000,1527.48000,1513.18000,1526.34000
20.12.2010,1526.18000,1532.03000,1521.01000,1525.00000
21.12.2010,1524.69000,1530.82000,1514.55000,1518.87000
22.12.2010,1517.70000,1538.21000,1517.70000,1536.06000
23.12.2010,1536.35000,1538.97000,1534.02000,1538.40000
24.12.2010,1538.43000,1540.55000,1532.13000,1535.37000
25.12.2010,1535.50000,1550.15000,1529.30000,1539.65000
26.12.2010,1540.48000,1544.19000,1519.48000,1533.43000
27.12.2010,1533.30000,1547.20000,1523.88000,1541.90000
28.12.2010,1542.75000,1553.47000,1540.18000,1544.26000
29.12.2010,1544.10000,1550.15000,1536.11000,1543.85000
30.12.2010,1543.90000,1546.10000,1530.78000,1537.28000
31.12.2010,1537.10000,1549.33000,1533.03000,1543.75000
01.01.2011,1543.40000,1545.20000,1525.92000,1530.87000
02.01.2011,1530.95000,1532.65000,1510.93000,1515.40000
03.01.2011,1515.75000,1525.95000,1511.96000,1523.60000
04.01.2011,1523.90000,1534.18000,1513.97000,1530.70000
05.01.2011,1530.08000,1532.73000,1521.60000,1529.20000
06.01.2011,1528.60000,1541.90000,1522.40000,1539.20000
07.01.2011,1539.15000,1546.68000,1532.79000,1540.45000
08.01.2011,1539.90000,1548.00000,1538.53000,1546.02000
09.01.2011,1546.80000,1557.86000,1541.11000,1548.76000
10.01.2011,1547.40000,1548.58000,1512.73000,1521.08000
11.01.2011,1520.85000,1525.38000,1498.37000,1502.22000
12.01.2011,1499.95000,1505.23000,1490.84000,1497.54000
13.01.2011,1496.40000,1506.17000,1495.63000,1500.90000
14.01.2011,1501.68000,1512.73000,1500.04000,1512.01000
15.01.2011,1511.43000,1513.97000,1498.48000,1499.67000
16.01.2011,1501.18000,1502.47000,1478.18000,1487.27000
17.01.2011,1495.97000,1516.39000,1492.85000,1515.47000
18.01.2011,1515.75000,1533.57000,1509.98000,1528.70000
19.01.2011,1529.00000,1534.32000,1522.85000,1532.12000
20.01.2011,1532.05000,1545.20000,1524.64000,1543.85000
21.01.2011,1543.93000,1556.66000,1541.43000,1553.24000
22.01.2011,1554.48000,1573.18000,1540.43000,1567.46000
23.01.2011,1566.96000,1587.61000,1564.11000,1582.05000
24.01.2011,1582.15000,1594.07000,1578.80000,1587.05000
25.01.2011,1586.73000,1593.57000,1575.76000,1593.30000
26.01.2011,1593.13000,1607.13000,1591.38000,1604.52000
27.01.2011,1604.55000,1609.73000,1582.33000,1588.11000
28.01.2011,1587.90000,1601.39000,1581.09000,1600.23000
29.01.2011,1601.30000,1604.41000,1584.82000,1590.39000
30.01.2011,1587.62000,1606.93000,1583.40000,1600.99000
31.01.2011,1600.40000,1623.33000,1600.40000,1613.83000
01.02.2011,1613.85000,1620.05000,1607.66000,1618.94000
02.02.2011,1619.45000,1628.24000,1608.69000,1613.18000
03.02.2011,1613.40000,1619.95000,1603.22000,1616.04000
04.02.2011,1617.55000,1632.37000,1610.43000,1626.78000
05.02.2011,1626.40000,1631.63000,1606.74000,1619.19000
06.02.2011,1619.79000,1660.11000,1616.23000,1659.83000
07.02.2011,1659.45000,1672.35000,1651.73000,1661.64000
08.02.2011,1660.30000,1681.80000,1641.37000,1646.62000
09.02.2011,1647.43000,1669.69000,1641.70000,1663.50000
10.02.2011,1687.50000,1720.03000,1682.30000,1719.18000
11.02.2011,1720.10000,1777.10000,1714.72000,1740.50000
12.02.2011,1742.83000,1796.69000,1737.10000,1792.64000
13.02.2011,1794.48000,1813.91000,1732.57000,1763.53000
14.02.2011,1767.78000,1767.78000,1723.39000,1746.05000
