date,open,max,min,close,x,y
2010.07.09,1198.07000,1213.53000,1194.30000,1211.54000,2500,0
2010.07.12,1211.73000,1212.78000,1196.26000,1196.55000,1787,0
2010.07.13,1197.17000,1217.75000,1196.25000,1212.03000,2815,0
2010.07.14,1211.50000,1217.73000,1202.45000,1208.16000,2723,0
2010.07.15,1208.34000,1217.07000,1203.82000,1208.03000,2620,0
2010.07.16,1208.96000,1210.62000,1186.00000,1192.68000,3297,0
2010.07.19,1193.10000,1194.78000,1177.60000,1182.64000,2391,0
2010.07.20,1184.11000,1193.63000,1175.66000,1191.85000,2821,0
2010.07.21,1191.43000,1197.80000,1183.29000,1184.78000,2238,0
2010.07.22,1184.65000,1200.46000,1180.97000,1194.64000,2900,0
2010.07.23,1194.85000,1203.75000,1183.82000,1188.82000,3384,0
2010.07.26,1188.65000,1194.53000,1179.60000,1183.30000,2452,0
2010.07.27,1182.65000,1186.98000,1157.88000,1161.30000,3686,0
2010.07.28,1162.30000,1165.88000,1157.00000,1163.00000,1707,0
2010.07.29,1162.63000,1169.20000,1159.37000,1167.80000,1450,0
2010.07.30,1165.80000,1183.28000,1165.56000,1180.55000,2070,0
2010.08.02,1181.48000,1189.64000,1174.53000,1182.48000,2923,0
2010.08.03,1181.98000,1190.43000,1179.18000,1185.88000,1861,0
2010.08.04,1185.37000,1202.75000,1184.45000,1194.52000,2746,0
2010.08.05,1194.91000,1199.60000,1189.83000,1194.67000,1931,0
2010.08.06,1194.71000,1210.74000,1192.29000,1204.98000,2664,0
2010.08.09,1204.85000,1209.65000,1198.98000,1201.02000,1752,0
2010.08.10,1201.36000,1207.23000,1190.58000,1203.98000,3069,0
2010.08.11,1204.26000,1207.75000,1192.26000,1197.85000,2458,0
2010.08.12,1197.97000,1215.23000,1197.40000,1213.63000,2001,0
2010.08.13,1213.72000,1217.38000,1210.70000,1215.20000,1189,0
2010.08.16,1214.40000,1227.23000,1214.02000,1224.93000,1590,0
2010.08.17,1224.72000,1228.79000,1222.38000,1224.53000,1264,0
2010.08.18,1224.35000,1232.30000,1217.69000,1229.13000,2445,0
2010.08.19,1229.15000,1237.25000,1227.70000,1231.71000,1655,0
2010.08.20,1231.85000,1233.20000,1221.98000,1227.58000,1818,0
2010.08.23,1226.20000,1231.79000,1221.73000,1225.83000,1976,0
2010.08.24,1224.95000,1235.29000,1210.71000,1230.28000,4384,0
2010.08.25,1230.20000,1241.28000,1228.98000,1239.80000,1501,0
2010.08.26,1239.68000,1243.94000,1233.98000,1237.28000,1753,0
2010.08.27,1236.55000,1242.10000,1231.98000,1237.80000,1900,0
2010.08.30,1237.63000,1238.23000,1233.30000,1236.69000,893,0
2010.08.31,1236.28000,1249.70000,1231.79000,1247.20000,2491,0
2010.09.01,1248.24000,1254.48000,1242.41000,1243.90000,1981,0
2010.09.02,1243.93000,1252.95000,1243.25000,1250.71000,1263,0
2010.09.03,1250.60000,1253.60000,1237.70000,1246.34000,2755,0
2010.09.06,1247.85000,1250.90000,1246.75000,1249.70000,646,0
2010.09.07,1249.84000,1259.43000,1244.58000,1255.43000,2412,0
2010.09.08,1255.28000,1262.05000,1253.49000,1254.80000,1665,0
2010.09.09,1254.73000,1258.68000,1242.28000,1243.40000,2148,0
2010.09.10,1244.05000,1250.35000,1236.50000,1245.75000,2601,0
2010.09.13,1246.13000,1248.83000,1241.01000,1245.35000,1487,0
2010.09.14,1244.50000,1274.58000,1244.50000,1267.94000,3673,0
2010.09.15,1268.53000,1271.75000,1263.13000,1267.75000,1647,0
2010.09.16,1267.61000,1277.57000,1264.65000,1274.93000,1853,0
2010.09.17,1274.85000,1282.58000,1271.79000,1273.93000,2067,0
2010.09.20,1278.38000,1283.48000,1274.18000,1277.93000,1816,0
2010.09.21,1278.40000,1290.63000,1270.93000,1286.97000,3084,0
2010.09.22,1286.95000,1295.88000,1286.37000,1291.09000,1489,0
2010.09.23,1290.90000,1295.78000,1286.76000,1292.13000,1682,0
2010.09.24,1292.33000,1299.66000,1291.45000,1296.18000,1258,0
2010.09.27,1297.58000,1299.77000,1293.92000,1294.12000,825,0
2010.09.28,1294.73000,1309.84000,1282.75000,1308.70000,4022,0
2010.09.29,1309.00000,1313.15000,1305.55000,1309.48000,1473,0
2010.09.30,1309.05000,1315.59000,1295.98000,1307.94000,3812,0
